T√≠tulo,Pre√ßo (R$),Avalia√ß√£o,Bairro,Im√≥vel,Caracter√≠sticas
Studio inovador em São Paulo próximo ao metrô,115,4.88,Consolacao,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio novo com vista imperdível do centro de SP !,86,4.61,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
São Paulo Itaim Bibi (Flat Newciti),124,4.94,Itaim Bibi,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Quarto tranquilo em casa,57,5.0,Liberdade,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado e meio', 'Wi-Fi', 'Cozinha']"
Todo conforto centro S.Paulo - Studio I,85,4.79,República,Apartamento inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi']"
"Quality Bela Cintra ★★★★, Próximo à Av. Paulista!",140,4.79,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Studio 412 bairro- Consolação  com metrô próximo.,119,4.92,Consolacao,Loft inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
"Quarto c/ banheiro,Jardins,2 quadras Paulista e HC",61,4.74,Cerqueira César,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Apartamento próximo a USP em Pinheiros,144,4.88,Pinheiros,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio no 18° Andar,121,5.0,São Paulo,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Lindo Studio ao lado do Metrô c/ Sacada & Cooktop!,75,4.89,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
CasApp Studio Novinho no Coração de São Paulo 204,106,4.81,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Suíte confortável com cama de solteiro no Brooklin,54,5.0,Vila Olímpia,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
HOSPEDAGEM RODEADA DE ÁREAS VERDES,99,,Vila Uberabinha,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi']"
#1008 - Cyclinn Faria Lima Itaim,214,4.83,Itaim Bibi,Apartamento inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Flat na Bela Cintra by Atlantica Residence,127,,flat,Quarto,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio Setin Downtown São Luis ( COM GARAGEM ),167,4.99,Consolacao,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
"Tranquilidade no miolo do BRÁS-SP, perto de tudo.",70,5.0,Brás,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro e meio', 'Wi-Fi']"
Quarto Confortável próximo do metrô,60,4.95,Brás,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
FLAT 104 MARAVILHOSO NOS JARDINS,135,,Cerqueira César,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apartamento no Bosque da Saúde para 4 hóspedes,100,4.96,Saúde,Apartamento inteiro,"['4 hóspedes', '1 quarto', '2 camas', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Suíte ar condicionado | Itaim/ Vila Olimpia/ Ibira,59,5.0,Vila Nova Conceição,Quarto inteiro,"['1 hóspede', 'Estúdio', '1 cama', '1 banheiro e meio', 'Wi-Fi', 'Cozinha']"
Bem estar Indianópolis Moema,51,5.0,Indianópolis,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '2 banheiros', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Suite Solteiro. Banheiro privado 12 min Sao Joaqu,56,5.0,Aclimação,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Freg do Ó /5Mint  Marg/Fácil  acesso Allianz Park,72,4.88,Nossa Senhora do O,Casa inteira,"['6 hóspedes', '2 quartos', '2 camas', '1 banheiro e meio', 'Wi-Fi', 'Cozinha']"
"Apto. completo, aconchegante e bem localizado.",80,,Bela Vista,Condomínio inteiro,"['3 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Cozinha']"
"Apartamento no coração de São Paulo , bela Vista",70,5.0,Consolacao,Apartamento inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Apartamento na Santa Efigênia,56,4.74,Centro,Quarto inteiro,"['2 hóspedes', '1 quarto', '0 camas', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Confortável espaço. Próximo ao metrô e hospitais,84,5.0,Liberdade,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Quarto mobiliado em local tranquilo.,56,,Santana,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Estúdio Mobiliado com Vista Unica do 24º Andar.,105,4.78,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Apartamento Mobiliado no Centro de SP com Cooktop!,148,4.79,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
HOSPEDAGEM RODEADA DE ÁREAS VERDES,99,,Vila Uberabinha,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Piscina']"
CasApp Studio Novinho no Coração de São Paulo 503,103,4.91,Bela Vista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Apart Hotel 4 Estrelas próximo Avenida Paulista,119,4.84,Bela Vista,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Estúdio moderno em frente ao metrô Campo Belo,140,5.0,Brooklin,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apto Nórdico(2 min da Paulista) com serv de hotel.,165,4.92,Bela Vista,Flat inteiro,"['3 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Suíte Ap. em frente do Sírio Libanês,90,4.97,Bela Vista,Quarto inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Suite. Banheiro privado. 10min do Aeroporto.,58,4.97,Campo Belo,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Quarto 2 individual centro de SP AP novo com wifi,57,4.6,Centro,Quarto inteiro,"['1 hóspede', '4 quartos', '4 camas', '2 banheiros compartilhados', 'Wi-Fi', 'Cozinha']"
Espaço Recanto das Perdizes 2,80,4.46,hotel boutique,Quarto,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Estacionamento gratuito']"
#1401 - Cyclinn Vila Olimpia - Flat Familia,214,4.91,Vila Olímpia,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
STUDIO MARINE  - SUPER CHARMOSO  - CONSOLAÇÃO,120,4.87,República,Flat inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Flat Paulista completo,124,4.42,Jardim Paulista,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Flat no centro de são paulo menor preço. (713),95,4.89,República,Flat inteiro,"['3 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Expo Center Norte Anhembi -Flat Seguro Metrô Tietê,120,4.85,Luz,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
STUDIO 206 - SUA CASINHA NO CENTRO DE SP,93,5.0,Centro,Loft inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
"Bela Vista, Sírio Libanês,  Convenções Frei Caneca",99,4.83,Bela Vista,Apartamento inteiro,"['3 hóspedes', '1 quarto', '4 camas', '1 banheiro e meio', 'Wi-Fi', 'Cozinha']"
FLAT 804 MARAVILHOSO NOS JARDINS,150,,Cerqueira César,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apartamento Mobiliado e Completo com Smart TV!,159,4.72,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio Mobiliado na República em Prédio Icônico!,182,4.7,República,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
"São Paulo - Tour de Compras e Lazerb  ,",118,4.98,Brás,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Local aconchegante e tranquilo.,80,4.98,Brooklin,Loft inteiro,"['1 hóspede', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Quarto para 1 pessoa na Bela Vista / Liberdade,62,4.93,Liberdade,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '2 banheiros compartilhados', 'Wi-Fi', 'Cozinha']"
S88 -  Moderno e aconchegante próx. Av Paulista!,141,4.95,Consolacao,Loft inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Studio Casal Mobiliado - Butantã,90,,Ferreira,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Quarto em rua tranquila próximo ao metro,57,5.0,Sumaré,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Studio 509 bairro- Consolação  com metrô próximo.,119,4.98,Consolacao,Loft inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Suíte para acomodar até 3 hóspedes.,60,4.91,Guarulhos,Quarto inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiros privado', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Apartamento inteiro próximo ao Mackenzie com wi-fi,100,,Vila Buarque,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Apto 1 dormitório perfeito no Copan!,125,5.0,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Flat Alamedas Jd. Paulista,138,4.63,Cerqueira César,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
"Apartamento Inteiro: Região central de Mooca, SP",110,4.92,Mooca,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Vista Fantástica no Copan ✨ Cama Queen,143,4.91,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
CasApp Studio Novinho no Coração de São Paulo 809,106,4.68,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio.centro São Paulo 2 minutos metro Anhangabaú,90,4.67,Bela Vista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Studio novo com vista imperdível do centro de SP !,86,4.61,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
"Estúdio Mobiliado com Varanda, Smart-TV e Wi-Fi !",98,,Centro,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Quarto e banheiro privativo nos jardins,85,5.0,Jardim Paulista,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Suíte ampla em ateliê artístico - c/ café da manhã,75,5.0,Mirandópolis,Quarto inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
"Apto. Studio 40m2 com sacada,   70m do metrô",106,4.86,Campos Elíseos,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Luxury Studio With amenities  - Vila Olímpia,55,5.0,Vila Olímpia,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
"Aeroporto, IBC,Autódromo,Senac, Hotel Transamérica",60,4.93,Vila Sofia,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
HOSPEDAGEM RODEADA DE ÁREAS VERDES,99,,Vila Uberabinha,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Piscina']"
Flat Particular Transamerica Paulista,141,4.63,Cerqueira César,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Flat c/Sacada - Região  Ibirapuera próximo UNIFESP,100,,Vila Clementino,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Stúdio aconchegante. Ótima localização do Centro.,110,4.73,República,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Kit para 1 pessoa com ar cond a 300m do metrô Ap2,60,,Ipiranga,Apartamento inteiro,"['1 hóspede', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Quarto Suite,60,4.6,Morumbi,Casa inteira,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
#809 - Cyclinn Vila Olimpia,204,4.88,Vila Olímpia,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Itaim Bibi Address Faria Lima Casal 3,90,,Itaim Bibi,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
CasApp Studio Novinho no Coração de São Paulo 303,102,4.82,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
"Banheiro, micro e frigobar. 10min a pé Aeroporto",69,4.95,Campo Belo,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Flat Imperdível Vila Clementino/Ibirapuera,96,,Vila Clementino,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
"Apto. Studio 40m2 com sacada,   70m do metrô",106,4.86,Campos Elíseos,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Quarto no bairro do Morumbi!,58,5.0,Vila Andrade,Quarto inteiro,"['2 hóspedes', '1 quarto', '2 banheiros', 'Wi-Fi', 'Cozinha']"
Stúdio aconchegante. Ótima localização do Centro.,110,4.73,República,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
suíte em casa de vila privativa na Vila Olimpia,62,5.0,Vila Olímpia,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '2 banheiros compartilhados', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Duplex Cobertura - Oficina Rooftop,334,4.84,Vila Madalena,Apartamento inteiro,"['4 hóspedes', 'Estúdio', '2 camas', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
CantinhodaCléa-Liberdade/S.Joaquim-Garagem/Wi-Fi,69,4.97,Liberdade,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Estacionamento gratuito', 'Cozinha']"
CHARMOSO FLAT PROXIMO DA RUA OSCAR FREIRE,228,4.21,Pinheiros,Apartamento inteiro,"['4 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
STUDIO LONDON SP COM PISICINA INIFINITY -610B,232,4.47,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Suíte mobiliada c/ copa e Wi-Fi próx ao hosp SP,65,,Vila Clementino,Suíte de visitas inteira,"['2 hóspedes', '1 quarto', '1 cama', '0 banheiros', 'Wi-Fi']"
Loft top no coração da Vila Olimpia,149,,Vila Olímpia,Loft inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apartment - Vila Madalena Subway,55,4.91,Vila Anglo Brasileira,Apartamento inteiro,"['4 hóspedes', '2 quartos', '4 camas', '2 banheiros', 'Wi-Fi', 'Cozinha']"
Apartamento Mobiliado e Completo com Smart TV!,159,4.72,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Estúdio Mobiliado com Vista Unica do 24º Andar.,105,4.78,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
CasApp Studio Novinho no Coração de São Paulo 808,111,4.72,Bela Vista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Apartamento Moderno Mobiliado com Cooktop e Wi-Fi,85,,Santa Efigênia,Condomínio inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
STUDIO MARINE  - SUPER CHARMOSO  - CONSOLAÇÃO,120,4.87,República,Flat inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Itaim Bibi Address Faria Lima Casal 3,130,4.67,Itaim Bibi,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Flat Paulista 540,128,4.76,Jardim Paulista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apt dentro de um verdadeiro Resort no centro de SP,140,5.0,Brás,Condomínio inteiro,"['4 hóspedes', '2 quartos', '2 camas', '2 banheiros', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
STD 1912. BEM-VINDO AO NOVO CENTRO DE SÃO PAULO!,104,4.85,República,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Apto inteiro prx Metrô M.Deodoro. Melhor preço.,111,4.97,Campos Elíseos,Apartamento inteiro,"['4 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Loft Urbano no coração da Berrini,169,4.8,Morumbi,Apartamento inteiro,"['4 hóspedes', '1 quarto', '1 cama', '2 banheiros', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
300 metros METRO SACOMAN - LINHA VERDE,60,4.96,Vila Firmiano Pinto,Quarto inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiro compartilhado', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Apartamento próximo a USP em Pinheiros,144,4.88,Pinheiros,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
"Lindo AP, 73m2 próximo ao metrô Saúde!",120,,Saúde,Apartamento inteiro,"['4 hóspedes', '2 quartos', '2 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Suíte mobiliada c/ copa e Wi-Fi próx ao hosp SP,65,,Vila Clementino,Suíte de visitas inteira,"['2 hóspedes', '1 quarto', '1 cama', '0 banheiros', 'Wi-Fi']"
"Flat/cobertura, o mais charmoso dos Jardins II",339,4.69,Cerqueira César,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Quartos 3 individuais em Ap centro SP com wifi,54,,Centro,Quarto inteiro,"['1 hóspede', '4 quartos', '1 cama', '2 banheiros compartilhados', 'Wi-Fi', 'Cozinha']"
Quarto Premium Moema Congonhas-Amarelo,60,5.0,Indianópolis,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '2 banheiros compartilhados', 'Wi-Fi', 'Cozinha']"
São Paulo Centro,73,,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
BRÁS - Apto Completo - 16ºandar - Metrô Pedro II,110,4.87,Brás,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Coliving Petit Paris 14,55,,Bela Vista,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Apto ao lado da Av. Rebouças e Av. Faria Lima,151,4.41,Pinheiros,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apto completo a 30m do metrô Santa Cecília,120,,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
🥂Coração de São Paulo 2! Café da manhã  grátis☕️🍪,111,4.73,Bela Vista,Loft inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
